,formatted_block,geo_code,district,link,block,compartment_amount,orientation,area,floor,metro_location,metro_location_distance,price,sublet
74,朝阳区北京新天地二期,"116.604532,39.915262",朝阳区,www.ziroom.com/x/718196521.html,北京新天地二期,3,南,10.9,13/15,管庄站,1347,2230,False
75,朝阳区众亿嘉园,"116.600422,39.916402",朝阳区,www.ziroom.com/x/611309968.html,众亿嘉园,4,南,16.0,2/16,管庄站,1177,2330,True
76,朝阳区泰福苑D1区,"116.478316,39.922750",朝阳区,www.ziroom.com/x/718444744.html,泰福苑D1区,3,北,11.5,14/18,黄渠站,707,2290,False
77,朝阳区燕保祈东家园,"116.534097,39.853389",朝阳区,www.ziroom.com/x/807873761.html,燕保祈东家园,3,北,7.1,15/28,焦化厂站,1063,2160,False
78,朝阳区北京像素南区,"116.617944,39.926346",朝阳区,www.ziroom.com/x/764080431.html,北京像素南区,3,南,10.1,11/16,草房站,324,2260,False
79,朝阳区华龙美树,"116.579770,39.912570",朝阳区,www.ziroom.com/x/753860608.html,华龙美树,4,北,9.4,8/16,双桥站,361,2260,False
80,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/753272109.html,北京像素北区,3,东南,9.4,2/13,草房站,349,2230,False
81,朝阳区管庄新村,"116.600102,39.902097",朝阳区,www.ziroom.com/x/783899956.html,管庄新村,3,南,10.14,11/18,管庄站,1181,2190,False
82,朝阳区建东苑,"116.584383,39.915862",朝阳区,www.ziroom.com/x/765923916.html,建东苑,3,南,11.0,6/6,双桥站,1138,2260,False
83,朝阳区康泉小区,"116.610228,39.900102",朝阳区,www.ziroom.com/x/711099322.html,康泉小区,3,东,14.11,12/28,八里桥站,1173,2260,False
84,朝阳区北京新天地三期,"116.606293,39.913857",朝阳区,www.ziroom.com/x/785694650.html,北京新天地三期,3,南,10.0,14/28,管庄站,1158,2190,True
85,朝阳区定福家园2号院,"116.568512,39.923238",朝阳区,www.ziroom.com/x/768567554.html,定福家园2号院,4,北,8.0,8/18,褡裢坡站,299,2260,False
86,朝阳区北京像素南区,"116.617944,39.926346",朝阳区,www.ziroom.com/x/610032811.html,北京像素南区,3,南,9.6,7/16,草房站,324,2260,False
87,朝阳区康泉小区,"116.610228,39.900102",朝阳区,www.ziroom.com/x/689069986.html,康泉小区,3,北,13.23,14/28,八里桥站,1173,2230,False
88,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/710073256.html,北京像素北区,3,东南,8.7,2/13,草房站,349,2230,False
89,朝阳区沁园小区,"116.455155,39.995801",朝阳区,www.ziroom.com/x/769779084.html,沁园小区,4,北,12.0,5/26,常营站,961,2290,False
90,朝阳区管庄新村,"116.600102,39.902097",朝阳区,www.ziroom.com/x/807800170.html,管庄新村,3,北,10.2,2/17,管庄站,1181,2190,False
91,朝阳区京通苑,"116.596881,39.914036",朝阳区,www.ziroom.com/x/789341656.html,京通苑,3,北,13.7,1/6,管庄站,847,2260,False
92,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/770113734.html,北京像素北区,3,西北,10.5,3/13,草房站,349,2260,False
93,朝阳区远洋一方润园2号院,"116.596816,39.901975",朝阳区,www.ziroom.com/x/655809069.html,远洋一方润园2号院,3,南,11.0,3/9,管庄站,1197,2290,False
94,朝阳区弘善家园,"116.448050,39.870565",朝阳区,www.ziroom.com/x/770755389.html,弘善家园,3,南,8.0,24/27,十里河站,717,2290,False
95,朝阳区北京像素南区,"116.617944,39.926346",朝阳区,www.ziroom.com/x/786676193.html,北京像素南区,3,北,10.0,2/16,草房站,324,2260,False
96,朝阳区万象新天一区,"116.592746,39.929821",朝阳区,www.ziroom.com/x/727278437.html,万象新天一区,4,北,12.3,2/6,常营站,985,2290,False
97,朝阳区艺水芳园,"116.562768,39.904875",朝阳区,www.ziroom.com/x/619435518.html,艺水芳园,4,北,11.7,10/15,传媒大学站,1060,2290,False
98,朝阳区京通苑,"116.596881,39.914036",朝阳区,www.ziroom.com/x/796239035.html,京通苑,3,南,13.22,6/6,管庄站,847,2290,False
99,朝阳区苹果派,"116.578150,39.929918",朝阳区,www.ziroom.com/x/627945910.html,苹果派,4,北,11.2,11/11,黄渠站,854,2290,False
100,朝阳区北花园小区1号院,"116.548405,39.905332",朝阳区,www.ziroom.com/x/653166022.html,北花园小区1号院,4,北,9.9,18/29,传媒大学站,957,2290,False
101,朝阳区远洋一方溪语苑,"116.600336,39.898512",朝阳区,www.ziroom.com/x/619633921.html,远洋一方溪语苑,3,北,14.2,2/6,管庄站,1340,2260,False
102,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/785600851.html,北京像素北区,3,西北,10.7,2/13,草房站,349,2290,False
103,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/787999370.html,北京像素北区,3,西,10.6,2/13,草房站,349,2290,False
104,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/807874811.html,北京像素北区,3,西北,6.8,1/13,草房站,349,2230,False
105,朝阳区金隅康惠园2号院,"116.581860,39.905616",朝阳区,www.ziroom.com/x/626607936.html,金隅康惠园2号院,3,东,11.0,7/21,双桥站,933,2260,True
106,朝阳区管庄新村,"116.600102,39.902097",朝阳区,www.ziroom.com/x/807798840.html,管庄新村,3,南,10.1,7/18,管庄站,1181,2260,False
107,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/762746293.html,北京像素北区,3,西,10.6,9/13,草房站,349,2290,False
108,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/718147924.html,北京像素北区,3,西北,10.2,2/13,草房站,349,2290,False
109,朝阳区金隅康惠园3号院,"116.578126,39.906108",朝阳区,www.ziroom.com/x/779613720.html,金隅康惠园3号院,2,东,6.6,18/22,双桥站,590,2230,True
110,朝阳区北京像素南区,"116.617944,39.926346",朝阳区,www.ziroom.com/x/639377512.html,北京像素南区,3,东,9.5,12/16,草房站,324,2290,False
111,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/784964143.html,北京像素北区,3,东,11.79,10/14,草房站,349,2330,False
112,朝阳区北京新天地五期,"116.606264,39.915443",朝阳区,www.ziroom.com/x/777639576.html,北京新天地五期,4,南,10.7,12/27,管庄站,983,2290,False
113,朝阳区金隅康惠园2号院,"116.581860,39.905616",朝阳区,www.ziroom.com/x/726794989.html,金隅康惠园2号院,3,东,9.8,14/22,双桥站,933,2260,False
114,朝阳区远洋一方润园6号院,"116.591839,39.904366",朝阳区,www.ziroom.com/x/807189665.html,远洋一方润园6号院,3,南,10.12,5/14,管庄站,1197,2260,False
115,朝阳区京通苑,"116.596881,39.914036",朝阳区,www.ziroom.com/x/765700913.html,京通苑,3,东,12.0,9/18,管庄站,847,2290,False
116,朝阳区金隅康惠园3号院,"116.578126,39.906108",朝阳区,www.ziroom.com/x/744545795.html,金隅康惠园3号院,3,南,6.4,17/22,双桥站,590,2260,True
117,朝阳区泰福苑D1区,"116.478316,39.922750",朝阳区,www.ziroom.com/x/718444065.html,泰福苑D1区,3,北,10.3,14/18,黄渠站,707,2290,False
118,朝阳区管庄新村,"116.600102,39.902097",朝阳区,www.ziroom.com/x/807803635.html,管庄新村,3,南,10.1,11/18,管庄站,1181,2290,False
119,朝阳区尚东阁,"116.585155,39.914223",朝阳区,www.ziroom.com/x/620485359.html,尚东阁,4,北,11.1,5/19,双桥站,954,2290,False
120,朝阳区北京新天地三期,"116.606293,39.913857",朝阳区,www.ziroom.com/x/591976654.html,北京新天地三期,4,北,12.0,3/28,管庄站,1158,2290,False
121,朝阳区艺水芳园,"116.562768,39.904875",朝阳区,www.ziroom.com/x/721921418.html,艺水芳园,4,南,10.0,14/15,传媒大学站,1060,2290,False
122,朝阳区苹果派,"116.578150,39.929918",朝阳区,www.ziroom.com/x/627945910.html,苹果派,4,北,11.2,11/11,黄渠站,854,2290,False
123,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/714234847.html,北京像素北区,3,西,11.5,5/14,草房站,349,2360,False
124,朝阳区翠成馨园C区,"116.499522,39.865741",朝阳区,www.ziroom.com/x/731909508.html,翠成馨园C区,4,北,11.5,12/16,垡头站,648,2330,False
125,朝阳区北花园小区1号院,"116.548405,39.905332",朝阳区,www.ziroom.com/x/653166022.html,北花园小区1号院,4,北,9.9,18/29,传媒大学站,957,2290,False
126,朝阳区定福家园2号院,"116.568512,39.923238",朝阳区,www.ziroom.com/x/751221626.html,定福家园2号院,3,南,10.3,18/21,褡裢坡站,299,2370,False
127,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/788843173.html,北京像素北区,3,东北,13.23,6/14,草房站,349,2390,False
128,朝阳区泰福苑D1区,"116.478316,39.922750",朝阳区,www.ziroom.com/x/755382926.html,泰福苑D1区,3,北,10.3,7/18,黄渠站,707,2330,False
129,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/771523629.html,北京像素北区,3,东南,12.4,6/13,草房站,349,2390,False
130,朝阳区北京像素南区,"116.617944,39.926346",朝阳区,www.ziroom.com/x/767221970.html,北京像素南区,3,东,12.2,11/16,草房站,324,2390,True
131,朝阳区紫南家园,"116.498016,39.876391",朝阳区,www.ziroom.com/x/751448315.html,紫南家园,3,北,9.4,4/7,南楼梓庄站,383,2330,False
132,朝阳区管庄新村,"116.600102,39.902097",朝阳区,www.ziroom.com/x/807798833.html,管庄新村,3,南,11.5,7/18,管庄站,1181,2360,False
133,朝阳区双惠小区,"116.598803,39.908138",朝阳区,www.ziroom.com/x/780498263.html,双惠小区,3,南,11.4,1/6,双桥站,728,2360,False
134,朝阳区康泉小区,"116.610228,39.900102",朝阳区,www.ziroom.com/x/710564949.html,康泉小区,3,北,15.7,18/28,八里桥站,1173,2390,False
135,朝阳区东一时区,"116.606168,39.899260",朝阳区,www.ziroom.com/x/718535827.html,东一时区,4,西南,16.2,2/15,管庄站,1631,2360,False
136,朝阳区康营家园十四区,"116.417250,40.003266",朝阳区,www.ziroom.com/x/722916735.html,康营家园十四区,3,南,11.7,1/11,孙河站,1305,2330,True
137,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/715062257.html,北京像素北区,3,东南,11.0,6/13,草房站,349,2390,False
138,朝阳区保利嘉园三号院,"116.605629,39.930667",朝阳区,www.ziroom.com/x/719684598.html,保利嘉园三号院,3,南,10.0,2/24,常营站,737,2360,False
139,朝阳区远洋一方北润园,"116.596245,39.902979",朝阳区,www.ziroom.com/x/687973286.html,远洋一方北润园,4,南,16.95,2/18,管庄站,1197,2430,False
140,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/648101262.html,北京像素北区,2,北,9.0,2/13,草房站,349,2360,True
141,朝阳区翠成馨园B区,"116.508621,39.856291",朝阳区,www.ziroom.com/x/720969460.html,翠成馨园B区,3,北,10.1,6/6,垡头站,740,2330,False
142,朝阳区保利嘉园三号院,"116.605629,39.930667",朝阳区,www.ziroom.com/x/715750375.html,保利嘉园三号院,3,南,12.3,29/29,常营站,737,2390,False
143,朝阳区金隅康惠园2号院,"116.581860,39.905616",朝阳区,www.ziroom.com/x/762106190.html,金隅康惠园2号院,3,南,12.3,7/20,双桥站,933,2390,False
144,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/410699786.html,北京像素北区,4,东,9.0,4/17,草房站,349,2360,False
145,朝阳区康泉小区,"116.610228,39.900102",朝阳区,www.ziroom.com/x/712952022.html,康泉小区,3,东,12.51,20/28,八里桥站,1173,2370,False
146,朝阳区北京像素北区,"116.615072,39.927305",朝阳区,www.ziroom.com/x/711645626.html,北京像素北区,3,西南,13.0,13/14,草房站,349,2430,False
147,朝阳区远洋一方林语苑,"116.603340,39.897828",朝阳区,www.ziroom.com/x/756826868.html,远洋一方林语苑,3,东,14.7,5/7,管庄站,1564,2360,False
148,朝阳区北京新天地一期,"116.605294,39.913875",朝阳区,www.ziroom.com/x/784822717.html,北京新天地一期,3,南,10.6,15/28,管庄站,1057,2370,False
149,朝阳区双惠小区,"116.598803,39.908138",朝阳区,www.ziroom.com/x/782909683.html,双惠小区,3,南,12.9,2/6,双桥站,728,2430,False
